eid,neurons,frames,R2,r
862ade13-53cd-4221-a3fa-dda8643641f2,29,432612,-0.00475927872972437,0.0031491219260007886
f9860a11-24d3-452e-ab95-39e199f20a93,59,350980,0.501098102930785,0.7081850036929377
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,298,240258,0.47022100453878135,0.6882220026111867
6f09ba7e-e3ce-44b0-932b-c003fb44fb89,162,346349,0.4576562417698007,0.6805731747958537
6fb1e12c-883b-46d1-a745-473cde3232c8,158,257551,0.5012881274387131,0.7593860511178344
88d24c31-52e4-49cc-9f32-6adbeb9eba87,165,260616,0.24474573922985887,0.694157648422546
c6db3304-c906-400c-aa0f-45dd3945b2ea,102,311652,0.2911404767111828,0.5967673935548748
f3ce3197-d534-4618-bf81-b687555d1883,93,381428,0.1648754040623016,0.49957230551270915
875c1e5c-f7ec-45ac-ab82-ecfe7276a707,47,327143,-0.17861952428107686,0.07495506136344195
dac3a4c1-b666-4de0-87e8-8c514483cacf,62,264704,0.08545950429424387,0.3790707849445894
